[2026-04-30 16:58:49] ALERT | HIGH_FREQUENCY | Direction: INBOUND | Source IP: 64:ff9b::11f2:d05 | 15 packets seen in 10s (latest flow: 64:ff9b::11f2:d05:5223 -> 2409:40d2:304f:d980:4102:3b91:4ecc:ed11:60465)
[2026-04-30 16:59:44] ALERT | HIGH_FREQUENCY | Direction: INBOUND | Source IP: 64:ff9b::11f2:d05 | 15 packets seen in 10s (latest flow: 64:ff9b::11f2:d05:5223 -> 2409:40d2:304f:d980:4102:3b91:4ecc:ed11:60465)
[2026-04-30 17:03:26] ALERT | HIGH_FREQUENCY | Direction: INBOUND | Source IP: 64:ff9b::11f2:d05 | 15 packets seen in 10s (latest flow: 64:ff9b::11f2:d05:5223 -> 2409:40d2:304f:d980:4102:3b91:4ecc:ed11:60465)
[2026-04-30 17:03:28] ALERT | HIGH_FREQUENCY | Direction: INBOUND | Source IP: 2a03:2880:f311:121:face:b00c:0:7260 | 15 packets seen in 10s (latest flow: 2a03:2880:f311:121:face:b00c:0:7260:5222 -> 2409:40d2:304f:d980:4102:3b91:4ecc:ed11:60516)
[2026-04-30 17:03:50] ALERT | HIGH_FREQUENCY | Direction: INBOUND | Source IP: 64:ff9b::11f2:d05 | 15 packets seen in 10s (latest flow: 64:ff9b::11f2:d05:5223 -> 2409:40d2:304f:d980:4102:3b91:4ecc:ed11:60465)
[2026-04-30 17:03:51] ALERT | HIGH_FREQUENCY | Direction: INBOUND | Source IP: 2a03:2880:f311:121:face:b00c:0:7260 | 15 packets seen in 10s (latest flow: 2a03:2880:f311:121:face:b00c:0:7260:5222 -> 2409:40d2:304f:d980:4102:3b91:4ecc:ed11:60519)
[2026-04-30 17:07:39] ALERT | HIGH_FREQUENCY | Direction: INBOUND | Source IP: 2a03:2880:f311:121:face:b00c:0:7260 | 15 packets seen in 10s (latest flow: 2a03:2880:f311:121:face:b00c:0:7260:5222 -> 2409:40d2:304f:d980:4102:3b91:4ecc:ed11:60523)
[2026-04-30 17:09:00] ALERT | PORT_SCAN | Direction: INBOUND | Source IP: 2404:6800:4002:80a::200e | contacted 6 unique ports on 2409:40d2:304f:d980:4102:3b91:4ecc:ed11 in 15s (ports: 52629, 57591, 59129, 59401, 59423, 63177)
[2026-04-30 22:44:31] ALERT | PORT_SCAN | Direction: INBOUND | Source IP: 192.168.1.1 | contacted 6 unique ports on 192.168.1.78 in 15s (ports: 6627, 12653, 15719, 17328, 48808, 54704)
[2026-05-01 20:14:29] ALERT | PORT_SCAN | Direction: INBOUND | Source IP: 2404:6800:4007:810::200e | contacted 6 unique ports on 2401:4900:883e:bea5:ccc9:cea9:f74b:8089 in 15s (ports: 50113, 50670, 52600, 53240, 62300, 64605)
[2026-05-01 21:00:05] ALERT | HIGH_FREQUENCY | Direction: INBOUND | Source IP: 2a03:2880:f368:121:face:b00c:0:7260 | 15 packets seen in 10s (latest flow: 2a03:2880:f368:121:face:b00c:0:7260:5222 -> 2401:4900:883e:bea5:ccc9:cea9:f74b:8089:60290)
[2026-05-01 21:00:27] ALERT | HIGH_FREQUENCY | Direction: INBOUND | Source IP: 2a03:2880:f368:121:face:b00c:0:7260 | 15 packets seen in 10s (latest flow: 2a03:2880:f368:121:face:b00c:0:7260:5222 -> 2401:4900:883e:bea5:ccc9:cea9:f74b:8089:62075)
[2026-05-01 21:00:42] ALERT | HIGH_FREQUENCY | Direction: INBOUND | Source IP: 2a03:2880:f368:121:face:b00c:0:7260 | 43 packets seen in 10s (latest flow: 2a03:2880:f368:121:face:b00c:0:7260:5222 -> 2401:4900:883e:bea5:ccc9:cea9:f74b:8089:62078)
[2026-05-01 21:01:10] ALERT | HIGH_FREQUENCY | Direction: INBOUND | Source IP: 2a03:2880:f368:121:face:b00c:0:7260 | 15 packets seen in 10s (latest flow: 2a03:2880:f368:121:face:b00c:0:7260:5222 -> 2401:4900:883e:bea5:ccc9:cea9:f74b:8089:62082)
[2026-05-01 21:01:31] ALERT | HIGH_FREQUENCY | Direction: INBOUND | Source IP: 2a03:2880:f368:121:face:b00c:0:7260 | 15 packets seen in 10s (latest flow: 2a03:2880:f368:121:face:b00c:0:7260:5222 -> 2401:4900:883e:bea5:ccc9:cea9:f74b:8089:62084)
[2026-05-01 21:02:06] ALERT | HIGH_FREQUENCY | Direction: INBOUND | Source IP: 2a03:2880:f368:121:face:b00c:0:7260 | 15 packets seen in 10s (latest flow: 2a03:2880:f368:121:face:b00c:0:7260:5222 -> 2401:4900:883e:bea5:ccc9:cea9:f74b:8089:49402)
[2026-05-01 21:02:31] ALERT | HIGH_FREQUENCY | Direction: INBOUND | Source IP: 2a03:2880:f368:121:face:b00c:0:7260 | 15 packets seen in 10s (latest flow: 2a03:2880:f368:121:face:b00c:0:7260:5222 -> 2401:4900:883e:bea5:ccc9:cea9:f74b:8089:54340)
